name, dist, ra, dec, type, magG, magG_err, magI, magI_err, g-i, gi_err, re, re_err, mue, mue_err, star mask, DTRGB, cz, Other names

dw0301+2446, 7.6, 03:01:32.2, 24:46:59.4, dI, 19.04, 0.35, 18.35, 0.37, 0.69, 0.21, 10.5, 1.4, 25.24, 0.27, N

dw0930+2143, 8.0, 09:30:40.0, 21:43:27.1, dI, 18.66, 0.08, 18.4, 0.07, 0.26, 0.03, 7.7, 0.6, 24.47, 0.11, N, 
UGC5086    , 8.0, 09:32:48.8, 21:27:56.2, dE_N, 15.73, 0.08, 15.15, 0.06, 0.58, 0.03, 16.9, 0.8, 23.76, 0.06, N, 7.4a(b), 491(c)
dw0933+2114, 8.0, 09:33:28.5, 21:14:00.1, dE, 21.41, 0.49, 20.86, 0.39, 0.56, 0.1, 4.8, 0.6, 26.76, 0.1, N
dw0934+2204, 8.0, 09:34:22.0, 22:04:53.9, dE, 19.41, 0.1, 19.11, 0.16, 0.31, 0.09, 3.7, 0.3, 24.38, 0.12, N, 582(a), N2903-HI-1(a)

dw1214+4726, 7.2, 12:14:05.0, 47:26:08.2, dE, 18.96, 0.19, 18.54, 0.14, 0.42, 0.06, 6.1, 0.7, 24.63, 0.17, N, S1(a)
dw1214+4621, 7.2, 12:14:40.0, 46:21:12.6, dI, 18.27, 0.16, 17.94, 0.15, 0.33, 0.05, 5.4, 0.4, 23.47, 0.18, N, 583(c), 480(c)
dw1214+4743, 7.2, 12:14:52.8, 47:43:17.6, dE, 21.06, 0.25, 20.63, 0.24, 0.43, 0.13, 5.7, 0.8, 26.56, 0.24, N
dw1216+4709, 7.2, 12:16:37.4, 47:09:11.9, dE, 22.27, 0.2, 21.79, 0.22, 0.48, 0.11, 3.2, 0.3, 26.22, 0.26, N, P5(a)
dw1217+4639, 7.2, 12:17:00.8, 46:39:10.1, dE, 19.45, 0.04, 19.02, 0.04, 0.43, 0.02, 3.9, 0.1, 24.29, 0.07, N
dw1217+4703, 7.2, 12:17:09.4, 47:03:52.2, dE_N?, 19.24, 0.22, 18.68, 0.2, 0.56, 0.04, 6.8, 0.7, 24.69, 0.06, N, >9.7(b), BTS109(g) DF3(b) S6(a)
dw1217+4759, 7.2, 12:17:32.0, 47:59:42.8, dI, 15.48, 0.04, 15.22, 0.03, 0.26, 0.01, 7.7, 0.2, 21.77, 0.05, N, 704(f), 080(c)
dw1217+4747, 7.2, 12:17:35.9, 47:47:47.5, dI, 21.59, 0.17, 21.42, 0.22, 0.17, 0.08, 3.9, 0.6, 26.59, 0.18, N
NGC4248    , 7.2, 12:17:50.2, 47:24:33.4, Im, 12.72, 0.02, 12.21, 0.02, 0.51, 0.01, 52.3, 0.5, 22.27, 0.02, N, 6.8(h), 527(f), S2(a)
dw1217+4656, 7.2, 12:17:59.4, 46:56:34.2, dI, 18.05, 0.02, 17.96, 0.02, 0.1, 0.01, 3.9, 0.04, 23.05, 0.03, N
dw1218+4623, 7.2, 12:18:02.6, 46:23:05.4, dE, 19.99, 0.44, 19.56, 0.44, 0.44, 0.09, 18.6, 3.2, 27.94, 0.15, N
