#      gal     mk logmstar   lam sigc sigavg   gami   gamo   gamr  h4avg h4grad env cluster   logmhalo delta    nu
# Formatted to read with:
#    numpy.genfromtxt('table1.txt',names=True,dtype=None)
# gal    : galaxy name
# mk     : absolute K-band magnitude
# mstar  : log10 stellar mass [solar mass]
# lam    : spin parameter lambda_e
# sigc   : central fiber dispersion [km/s]
# sigavg : average dispersion in Re [km/s]
# gami   : gamma_inner, log slope at 2kpc
# gamo   : gamma_outer, log slope at 20kpc
# gamr   : gamma_rmax, log slope at max R
# h4avg  : average kurtosis h_4 within Re
# h4grad : gradient d(h_4)/d(log R)
# env    : (I)solated/(S)atellite/(B)GG
# cluster: cluster membership (if any)
# mh     : log10 halo mass [solar mass]
# delta  : density contrast delta_g
# nu     : log10 nu_10 [mean nu_10]
    gal     mk logmstar   lam sigc sigavg   gami   gamo   gamr  h4avg h4grad env cluster   logmhalo delta    nu
   NGC2672 -25.60 11.72 0.095  273    262 -0.055    nan -0.033  0.028 -0.009   B    none 13.0  0.12  0.09
   NGC2693 -25.76 11.79 0.295  327    296 -0.061  0.087  0.094  0.035 -0.011   I    none  nan  0.23  0.83
   NGC2783 -25.72 11.78 0.042  252    264  0.034  0.012  0.009  0.047 -0.007   B    none 12.8  0.51  0.66
   NGC2832 -26.42 12.08 0.071  327    291 -0.093  0.096  0.120  0.054  0.005   B    A779 13.7  0.60  0.89
   NGC2892 -25.70 11.77 0.046  237    234  0.013 -0.154 -0.181  0.051  0.004   I    none  nan  0.34  0.35
   NGC3158 -26.28 12.02 0.255  301    289 -0.034  0.009  0.015  0.032  0.009   B    none 13.3  0.43  0.98
   NGC3209 -25.55 11.70 0.039  288    247 -0.146    nan -0.018  0.005 -0.025   B    none 11.8  0.38  0.43
   NGC3462 -25.62 11.73 0.085  233    214 -0.048 -0.326 -0.359 -0.017 -0.015   I    none  nan  0.35  0.39
   NGC3562 -25.65 11.75 0.038  250    241 -0.069 -0.140 -0.141  0.028 -0.021   B    none 13.5  0.35  0.92
   NGC3615 -25.58 11.72 0.399  268    232 -0.232  0.114  0.116 -0.030 -0.044   B    none 13.6  0.49  0.71
   NGC3805 -25.69 11.76 0.496  266    225 -0.262  0.086  0.147  0.019 -0.060   S   A1367 14.8  0.75  2.63
   NGC3816 -25.40 11.64 0.105  212    191 -0.016 -0.142 -0.155 -0.038 -0.055   S   A1367 14.8  0.76  3.27
   NGC3842 -25.91 11.86 0.038  262    231 -0.098    nan  0.046  0.022 -0.000   B   A1367 14.8  0.77  4.26
   NGC3862 -25.50 11.68 0.045  248    228 -0.069  0.105  0.134 -0.005 -0.068   S   A1367 14.8  0.77  4.25
   NGC3937 -25.62 11.73 0.074  292    243 -0.150    nan  0.042  0.015 -0.002   B    none 14.2  0.77  1.84
   NGC4073 -26.33 12.05 0.023  316    292 -0.101  0.199  0.240  0.034  0.043   B    none 13.9  0.64  1.94
   NGC4472 -25.72 11.78 0.197  292    258 -0.074    nan -0.088  0.023  0.020   B   Virgo 14.7  0.95  3.26
   NGC4555 -25.92 11.86 0.120  328    277 -0.097 -0.366 -0.405  0.044  0.022   I    none  nan  0.77  0.79
   NGC4816 -25.33 11.61 0.069  217    207 -0.031 -0.017 -0.014  0.003  0.002   S    Coma 15.3  1.12  3.28
   NGC4839 -25.85 11.83 0.053  261    275 -0.026    nan  0.298  0.061  0.099   S    Coma 15.3  1.12  3.41
   NGC4874 -26.18 11.98 0.070  251    258 -0.030  0.255  0.300  0.046  0.051   S    Coma 15.3  1.12  4.37
   NGC4889 -26.64 12.18 0.032  370    337 -0.128  0.087  0.124  0.051  0.055   B    Coma 15.3  1.12  4.26
   NGC4914 -25.72 11.78 0.054  233    225 -0.023 -0.213 -0.222  0.005 -0.032   I    none  nan  0.05  0.06
   NGC5129 -25.92 11.86 0.402  260    222 -0.172  0.203  0.266  0.024  0.029   I    none  nan  0.63  0.68
   NGC5208 -25.61 11.73 0.615  270    235 -0.226    nan  0.467  0.001 -0.024   B    none 13.0  0.70  1.19
   NGC5322 -25.51 11.68 0.054  246    239 -0.073    nan -0.178 -0.002 -0.031   B    none 13.7  0.39  1.31
   NGC5353 -25.45 11.66 0.551  277    225 -0.141    nan  0.277  0.018 -0.037   B    none 13.6  0.42  1.79
   NGC5490 -25.57 11.71 0.138  349    282 -0.272    nan  0.345  0.056  0.020   I    none  nan  0.33  0.98
   NGC5557 -25.46 11.66 0.035  279    223 -0.153    nan  0.120  0.015 -0.056   B    none 13.3  0.41  0.92
   NGC6223 -25.59 11.72 0.315  274    238 -0.127    nan -0.304  0.008  0.006   B    none 13.5  0.19  0.78
   NGC6375 -25.53 11.69 0.240  226    187 -0.128    nan -0.119  0.021 -0.042   I    none  nan  0.07  0.18
  UGC10918 -25.75 11.79 0.034  247    249 -0.121  0.185  0.228  0.018  0.051   I    none  nan  0.25  0.67
   NGC6482 -25.60 11.72 0.137  305    291 -0.066 -0.174 -0.179  0.009 -0.033   B    none 13.1  0.20  0.02
   NGC6575 -25.58 11.72 0.124  264    234 -0.098    nan -0.156 -0.011 -0.000   I    none  nan  0.32  0.69
   NGC7052 -25.67 11.75 0.148  298    266 -0.093 -0.199 -0.206  0.045  0.017   I    none  nan  0.12 -0.10
   NGC7242 -26.34 12.05 0.037  255    283  0.020  0.118  0.130  0.043  0.031   B    none 14.0  0.80  3.43
   NGC7265 -25.93 11.87 0.039  230    206 -0.112 -0.034 -0.024 -0.003 -0.061   B    none 14.7  0.84  3.71
   NGC7274 -25.39 11.63 0.090  259    244 -0.089  0.230  0.238  0.030  0.003   S    none 14.7  0.84  3.50
   NGC7386 -25.58 11.72 0.071  312    273 -0.071 -0.009 -0.008  0.031 -0.003   B    none 13.9  0.41  0.49
   NGC7426 -25.74 11.79 0.563  284    219 -0.345  0.099  0.127  0.031 -0.048   B    none 13.8  0.58  0.92
   NGC7436 -26.16 11.97 0.085  280    263 -0.092  0.251  0.284  0.043  0.022   B    none 14.4  0.61  2.00
   NGC7550 -25.43 11.65 0.038  270    224 -0.117 -0.373 -0.395  0.005 -0.030   B    none 11.9 -0.03  0.00
   NGC7556 -25.83 11.83 0.049  253    243 -0.013  0.093  0.111  0.029  0.049   B    none 14.0  0.30  1.22
   NGC7618 -25.44 11.65 0.247  292    265 -0.127 -0.140 -0.141  0.022 -0.014   B    none 13.7  0.50  2.38
   NGC7619 -25.65 11.75 0.119  325    277 -0.155    nan  0.073  0.020 -0.002   B    none 14.0  0.19  1.33
   NGC7626 -25.65 11.75 0.034  269    250 -0.042    nan -0.416  0.045 -0.019   S    none 14.0  0.19  1.32
