core_radius_kpc, BH_mass
0.023501546363193085, 475033390.8343525
0.056744925377065394, 413408412.9287119
0.039506617529444840, 928265936.1772782
0.132732665124362500, 919098524.6434108
0.179901154669385360, 532467498.0167268
0.25261428955187620, 905516882.4823115
0.16029404616970064, 1294401374.737882
0.10437551454302900, 2821181546.7886186
0.12028804860069929, 2541981665.446647
0.15136768486256835, 2516877445.7069335
0.15209468041439259, 3527067678.2962728
0.17311250111276102, 3323163614.766945
0.23999929340118870, 4992014774.996208
0.26419516789287990, 4821583088.272687
0.27314734895151700, 4542841517.649357
0.29934219518261620, 3724952076.20513
0.35526360858148030, 3597779002.020388
0.33290349553937704, 10000000000
0.67680112808571980, 6118400912.552004
0.67520599771467920, 16671810245.790634
0.80508411996809530, 20946944868.037437
