ID, RA, dec, V0, V0_err, VI, VI_err, magV, magV_err, hR, hR_err, mueff, mueff_err, Re, Re_err, n, n_err
C-1-46, 12:49:00.3, -41:18:48.0, 20.78, 0.04, 0.88, 0.06, 23.71, 0.01, 1.80, 0.02, 25.56, 0.05, 3.04, 0.07, 1.08, 0.07
C-1-47a, 12:48:27.2, -41:17:35.1, 20.79, 0.05, 24.06, 0.03, 2.46, 0.04, 25.84, 0.03, 4.07, 0.06, 0.93, 0.03
C-4-48, 12:50:03.8, -41:11:36.0, 20.82, 0.03, 0.74, 0.04, 22.98, 0.01, 1.27, 0.01, 24.57, 0.01, 1.96, 0.01, 0.69, 0.02
C-3-49, 12:49:35.9, -41:21:07.5, 20.87, 0.06, 1.03, 0.07, 24.40, 0.02, 3.01, 0.04, 26.09, 0.04, 4.71, 0.10, 0.90, 0.03
C-3-50, 12:49:47.9, -41:22:04.0, 20.90, 0.05, 0.82, 0.07, 24.11, 0.02, 2.07, 0.03, 25.80, 0.02, 3.30, 0.02, 0.63, 0.01
C-2-51, 12:49:32.0, -41:17:18.2, 20.97, 0.03, 0.79, 0.04, 23.24, 0.03, 1.69, 0.03, 25.01, 0.02, 2.81, 0.03, 0.74, 0.02
C-5-52, 12:48:52.3, -41:27:13.7, 21.04, 0.09, 1.03, 0.13, 24.13, 0.07, 2.17, 0.06, 26.21, 0.05, 4.07, 0.09, 0.65, 0.08
C-5-53, 12:48:47.4, -41:26:05.1, 21.13, 0.04, 0.87, 0.06, 23.83, 0.06, 1.59, 0.04, 25.67, 0.02, 2.73, 0.03, 0.64, 0.03
C-4-54, 12:50:01.9, -41:12:46.9, 21.16, 0.08, 0.91, 0.12, 24.49, 0.04, 2.30, 0.05, 26.25, 0.04, 3.77, 0.07, 0.84, 0.03
C-6-55, 12:49:01.4, -41:30:17.6, 21.19, 0.01, 0.79, 0.02, 23.18, 0.03, 1.18, 0.02, 24.85, 0.02, 1.88, 0.02, 0.62, 0.03
C-7-56, 12:48:32.6, -41:35:41.9, 21.27, 0.22, 0.77, 0.31, 25.79, 0.03, 4.64, 0.14, 27.12, 0.03, 6.04, 0.10, 0.46, 0.02
C-4-57, 12:50:05.1, -41:12:38.8, 21.30, 0.17, 0.69, 0.21, 24.67, 0.01, 2.32, 0.03, 26.61, 0.06, 4.12, 0.13, 1.14, 0.06
C-3-58, 12:49:40.8, -41:21:06.5, 21.34, 0.08, 0.84, 0.10, 24.75, 0.03, 2.21, 0.06, 26.35, 0.04, 3.34, 0.08, 0.76, 0.04
C-3-59, 12:49:57.9, -41:19:22.2, 21.38, 0.03, 0.76, 0.04, 23.18, 0.01, 1.24, 0.01, 24.87, 0.01, 1.98, 0.01, 0.75, 0.02
C-1-60, 12:48:36.5, -41:18:37.1, 21.48, 0.04, 0.80, 0.10, 24.58, 0.04, 2.78, 0.08, 26.25, 0.05, 4.34, 0.10, 0.78, 0.05
C-2-61, 12:49:08.2, -41:21:13.8, 21.50, 0.04, 0.91, 0.07, 25.09, 0.03, 5.93, 0.33, 26.35, 0.10, 6.31, 0.40, 0.69, 0.06
C-6-62, 12:48:59.3, -41:30:19.3, 21.52, 0.02, 0.82, 0.04, 23.69, 0.04, 1.25, 0.03, 25.35, 0.04, 1.96, 0.04, 0.72, 0.04
C-2-63, 12:49:07.1, -41:19:38.4, 21.62, 0.04, 0.98, 0.06, 23.77, 0.15, 1.25, 0.07, 25.95, 0.05, 2.49, 0.07, 0.79, 0.04
C-4-64, 12:49:58.0, -41:15:11.6, 21.75, 0.10, 0.95, 0.15, 25.38, 0.03, 2.50, 0.06, 27.06, 0.08, 3.94, 0.16, 0.81, 0.06
C-4-65, 12:50:06.5, -41:13:39.7, 21.83, 0.04, 0.90, 0.09, 24.11, 0.02, 1.68, 0.02, 25.95, 0.05, 2.84, 0.07, 0.99, 0.07
C-1-66, 12:48:34.1, -41:21:20.8, 21.92, 0.12, 0.84, 0.16, 25.07, 0.15, 2.07, 0.16, 26.81, 0.10, 3.37, 0.18, 0.59, 0.08
C-3-67, 12:49:54.7, -41:19:00.7, 21.94, 0.05, 1.03, 0.07, 24.12, 0.10, 1.42, 0.07, 26.12, 0.05, 2.59, 0.06, 0.75, 0.05
C-5-68, 12:48:47.3, -41:22:05.1, 21.98, 0.03, 0.91, 0.05, 24.23, 0.02, 2.41, 0.05, 25.83, 0.05, 3.56, 0.10, 0.85, 0.04
C-3-69, 12:49:42.0, -41:21:33.0, 22.18, 0.11, 0.86, 0.15, 25.02, 0.07, 1.77, 0.08, 26.70, 0.09, 2.79, 0.15, 0.78, 0.09
C-6-70, 12:48:45.5, -41:30:18.8, 22.24, 0.04, 0.65, 0.04, 23.86, 0.02, 0.97, 0.02, 25.64, 0.09, 1.58, 0.09, 0.97, 0.06
C-4-71, 12:49:39.4, -41:12:21.1, 22.28, 0.09, 0.88, 0.13, 25.01, 0.05, 1.71, 0.06, 26.85, 0.11, 2.89, 0.15, 0.94, 0.12
C-3-72, 12:50:00.9, -41:21:32.5, 22.33, 0.05, 0.93, 0.08, 24.28, 0.05, 1.24, 0.04, 25.99, 0.06, 2.00, 0.07, 0.79, 0.08
C-3-73, 12:49:59.6, -41:20:16.1, 22.37, 0.07, 0.67, 0.15, 24.38, 0.09, 1.35, 0.01, 26.05, 0.08, 2.14, 0.08, 0.60, 0.20
C-4-13, 12:49:56.4, -41:15:35.8, 16.17, 0.01, 1.10, 0.01, 21.24, 0.01, 4.62, 0.01, 23.08, 0.01, 7.77, 0.01, 1.08, 0.01
C-1-14, 12:48:39.8, -41:16:05.7, 16.23, 0.01, 1.09, 0.01, 21.26, 0.01, 4.24, 0.01, 23.12, 0.01, 7.19, 0.01, 1.15, 0.01
