theta, pdf
0.046155212210966745, 0.2973893836645227
0.030945111412512605, 0.1671729488290976
0.023882983884460363, 0.08739954075774947
0.017936378922495833, 0.038814015596699836
0.041660379442490514, 0.22995229184924892
0.08508256312424722, 0.4548964418227399
0.0748918290353211, 0.3456561936511646
0.09435273845415398, 0.5299659045443854
0.08348775574018158, 0.40077743532915466
0.106084939870971, 0.5791326812248065
0.1147617599021526, 0.6287055634597332
0.1272197971727383, 0.6896322121946425
0.13850666097708392, 0.7575975089400668
0.1517180610035186, 0.8210802895962244
0.16241348466314637, 0.8782999220893433
0.17365928921204132, 0.9376123382063446
0.18455418411467434, 0.9987581817500906
0.19731020212079037, 1.059075994736295
0.20862363572678838, 1.1211666579439679
0.22294699560321923, 1.2037999234838415
0.24472868799787106, 1.2976600012020318
0.2606998121025438, 1.3694808820595221
0.2740603307717514, 1.4155297759027181
0.29113143521309937, 1.4830702853264057
0.3004752004501249, 1.5360479427497817
0.3188930691936429, 1.5953320757774945
0.3442925817654945, 1.6607390449526922
0.37984156424272386, 1.719254374346175
0.4218937677758343, 1.7400624360921482
0.4585242935448577, 1.716445547561141
0.4766487988616618, 1.6604850754593086
0.49880862426108696, 1.5893783355216973
0.5133229109009773, 1.524391991728963
0.5265399581376018, 1.4722875900003407
0.5400360259978642, 1.4056971225867652
0.5504999606113559, 1.3404006916497826
0.5628689732614283, 1.277498463397526
0.5708949593868136, 1.2262375338622928
0.5797998225242562, 1.1596968789423199
0.5946536379060998, 1.0859482209075708
0.6031365383445759, 1.0095598670472008
0.6137981808511143, 0.9490516762536798
0.6217040788158542, 0.8911817385424972
0.6327706565281942, 0.8206709641202554
0.6462121014759203, 0.7371728386702727
0.6620234773485705, 0.6680250194227453
0.6692078013534207, 0.6108960966188199
0.6847006306053772, 0.5557542134943703
0.6989187692342291, 0.4996716844121356
0.720763810587352, 0.4450151304871328
0.7467599173728822, 0.39147987751764113
0.7796159265751409, 0.34369958169175563
0.8174656062073516, 0.3005239254633234
0.8660358457482139, 0.2627999792222184
0.9265394680460738, 0.23047383236287877
0.9838135682236412, 0.20208989853516623
1.0410947553581207, 0.17946766067675424
1.0983831040490584, 0.16266776821889883
1.1556709305431712, 0.14544332974225282
1.2129645012023595, 0.1328888974723026
1.2702568782688055, 0.11936407430226037
1.3275529107130262, 0.10881107326375195
1.384852225537291, 0.1009266472004986
1.4421519133592873, 0.09334546829352397
1.4994514519821913, 0.08564299052403768
1.556753153991942, 0.07969934626096897
1.6140537370084957, 0.07284596052906478
1.6713573040069072, 0.06841855204739145
1.7239061910699545, 0.05700591124412702
1.7852746626225153, 0.053445723706117
1.8405375870028884, 0.05398398740851218
1.8978387103674934, 0.047569904642575045
1.9551475557824758, 0.04743384883288626
2.0124519433758983, 0.04367358409502686
2.0697561071706816, 0.03973137106339997
2.1270609423613824, 0.03633500291307534
2.184367120343919, 0.03403032452535504
2.2416736713241883, 0.032028893293913674
2.298980446103097, 0.03020941035624003
2.356288041477016, 0.029057071162379877
2.413595636850935, 0.027904731968519725
2.4709033814239474, 0.026873691637171016
2.528211275196053, 0.025963950168334193
2.5855197657645292, 0.025539404149543588
2.6428266151429844, 0.023780570643125554
2.7001348073132747, 0.023113426899311618
2.757442178888555, 0.02177913941168419
2.814749699662928, 0.020566150786568205
2.8720581156318583, 0.02008095533652199
2.929365561806684, 0.01880731728015017
2.9866742761738, 0.018564719555127063
3.043981423950441, 0.01704848377373236
3.1012895415211856, 0.01632069059866259
3.1381292593383363, 0.014865104248523497
