z,log_mstar,logstellardens,sigma
0.11831,10.894,8.95497,129.95821
0.0883,11.059,9.11661,198.5591
0.09402,11.2562,9.20059,172.61481
0.08883,10.3068,9.04768,103.2794
0.10791,11.5686,9.14142,217.3786
0.11059,10.8334,8.70477,178.01019
0.05142,11.0123,9.15552,188.87421
0.05593,10.1708,8.95885,120.0844
0.09518,10.963,8.7466,154.6456
0.10476,10.5262,8.64581,162.8313
0.15198,11.1952,8.93366,228.6335
0.09007,10.8478,8.65882,128.55009
0.08962,10.9505,8.92758,155.63049
0.03448,10.5364,8.44765,113.2922
0.09687,10.6331,8.92383,135.6404
0.09602,10.6306,8.75633,116.9585
0.09786,10.8058,8.64737,144.41679
0.14863,10.637,8.92525,184.2294
0.14559,11.1301,8.96241,209.3541
0.05116,10.332,8.60693,73.5432
0.10757,11.0404,9.24145,240.17239
0.10757,10.8547,8.75738,115.046
0.09462,11.1699,9.17699,201.93111
0.10699,11.0611,8.59906,153.9626
0.08881,10.6658,8.79048,117.2939
0.09689,10.5755,8.64592,118.6476
0.08915,10.4829,8.67016,98.0516
0.1274,10.6687,8.85626,112.28
0.09933,11.1539,8.97049,155.7552
0.09682,10.6604,8.88319,176.162
0.06545,10.5909,8.66723,121.1797
0.02849,9.7388,8.67983,68.7344
0.1427,10.8917,8.6829,106.9415
0.09746,10.5632,8.96217,158.2906
0.09486,10.4075,8.82982,101.9529
0.1175,10.5993,8.68723,48.3955
0.09674,10.9674,8.83349,145.7478
0.06536,10.7325,8.85382,116.7877
0.07199,10.5125,8.94918,118.9773
0.09637,11.0385,9.20914,227.7693
0.06499,9.8943,8.59849,94.3106
0.12984,10.7638,8.90152,147.7097
0.16074,11.6124,8.83012,182.14391
0.06571,10.5172,8.66482,81.8848
0.10595,10.6661,8.94966,134.2435
0.14124,10.911,8.55334,151.4614
0.06492,10.7047,8.61081,100.173
0.09526,10.5216,8.54686,139.84489
0.09677,10.4305,8.29029,92.7708
0.06471,10.2399,9.06196,103.2091
0.10935,10.5619,8.87771,115.9175
0.06438,11.0149,8.75067,95.9233
0.06507,10.4951,9.06141,148.69189
0.11716,10.7187,8.83466,149.6572
0.08559,10.3314,8.79998,98.4315
0.09643,11.1035,8.9826,202.92039
0.0825,10.8662,8.85521,186.8064
0.10714,11.0332,8.6975,138.60519
0.13638,10.9722,8.99578,192.7907
0.03937,9.8532,8.73895,77.0051
0.14806,10.8767,8.75439,150.4158
0.13723,10.6634,8.91126,171.7914
0.13629,10.9645,8.86051,181.6521
0.14956,11.3767,9.12666,232.11771
0.07508,10.1248,8.6288,61.2579
0.15028,11.1051,8.76765,155.4135
0.13522,10.7715,8.61265,103.7834
0.13517,11.1815,8.42144,227.73019
0.12699,10.7571,8.86877,164.8501
0.06012,10.7327,8.68557,129.8405
0.0831,10.9725,8.78108,95.1899
0.1258,11.2386,8.95439,151.44479
0.07524,10.2891,8.66765,92.9418
0.12579,10.5746,8.21212,44.7776
0.03901,10.6346,9.29451,129.04201
0.08068,10.3551,8.7182,88.0449
0.13482,11.3237,9.03513,259.86069
0.13498,10.9041,8.75528,162.59129
0.08696,10.8887,9.2176,173.7449
0.09674,10.5218,8.67646,78.6291
0.20393,11.4715,8.92816,179.2825
0.03985,10.7379,9.1128,123.7061
0.13812,11.1835,9.17597,209.34731
0.12794,10.9011,8.8837,149.3268
0.13839,11.5422,8.71618,236.1165
0.12815,10.9291,8.96258,140.5101
0.0953,10.608,8.40494,121.5669
0.12406,10.9696,8.5872,137.5697
0.08724,10.8112,8.89496,147.0036
0.07527,10.8417,8.89549,108.0297
0.10738,10.6751,8.64581,95.4193
0.12536,10.6427,8.33416,86.5597
0.02718,10.2121,8.95076,88.712
0.1383,10.8118,8.66464,162.24229
0.13296,11.1462,8.95498,177.7252
0.07416,10.5376,8.5399,76.4317
0.11302,10.945,8.73566,136.0282
0.11399,11.0665,9.07747,225.9901
0.13358,10.8094,8.99702,144.3156
0.11172,10.7284,8.70242,108.2511
0.13295,11.0504,8.92334,190.01289
0.1142,10.7093,8.82928,148.67439
0.11308,10.9239,8.69407,96.6855
0.14033,11.0526,9.07931,164.9384
0.09477,11.0156,9.06086,187.72391
0.13392,11.3326,8.99998,213.13251
0.12475,10.7706,8.97657,185.7249
0.13817,11.3922,8.77067,234.05679
0.03941,9.5617,8.52648,46.0989
0.08751,10.6785,8.75424,115.5539
0.0755,10.8368,8.99173,129.84801
0.09512,11.3965,8.98789,321.93399
0.09464,10.4804,8.97282,105.4438
0.13391,10.8648,8.70474,146.4986
0.07703,10.7124,9.12466,173.2361
0.0499,10.5809,9.03693,97.2848
0.21887,11.4212,8.67392,198.0083
0.10732,10.7737,8.7289,117.2627
0.08277,10.6844,8.93533,153.8112
0.07409,10.6308,8.84655,108.768
0.09774,10.6474,9.16301,221.827
0.09519,11.2323,8.97992,257.17581
0.09658,11.1138,8.93745,110.7255
0.13014,10.7529,8.61058,141.58051
0.09673,10.8222,8.7471,122.578
0.09433,11.1379,8.96908,186.7621
0.2228,11.2393,9.00032,105.9177
0.12648,10.9137,8.89933,130.6073
0.14287,10.8571,8.67078,146.899
0.08263,10.6042,8.95849,124.5796
0.11399,11.2764,9.06581,163.2054
0.15046,11.1443,9.0281,188.2386
0.15257,11.1088,8.71752,201.5591
0.18433,11.2882,8.83659,169.6102
0.16128,11.1714,8.77289,193.26221
0.1168,10.7205,8.73413,129.79559
0.12032,11.1417,8.84104,169.12601
0.11916,11.0528,8.81815,161.52499
0.07233,10.8708,9.05126,173.60069
0.09567,10.77,8.99602,219.4341
0.15127,11.0172,8.94622,130.0869
0.08265,10.3007,8.60014,117.5643
0.10807,10.6441,8.67306,107.9672
0.10843,10.8505,8.58704,106.6281
0.11971,10.8413,8.83512,141.133
0.1189,10.6605,8.51788,85.501
0.09523,10.7914,8.72661,128.68311
0.1216,10.9892,8.58983,167.8385
0.12186,10.9473,8.3996,109.2668
0.10903,11.0178,8.87917,126.5715
0.0815,10.5431,9.04451,111.0383
0.12218,10.7061,8.86734,105.5651
0.12232,10.8183,8.72448,133.6423
0.13149,10.8414,9.04891,150.2795
0.05926,10.1562,8.82215,91.4105
0.09729,11.1739,8.82235,153.0237
0.09764,10.9359,8.83618,160.9855
0.13133,11.141,9.07419,202.8472
0.09523,11.1565,8.88009,195.4397
0.14208,10.9467,8.70606,136.39439
0.08005,11.3288,8.84632,180.1566
0.11594,10.8204,8.45357,115.4726
0.1118,11.1234,8.6912,155.43269
0.15055,11.0993,8.56509,165.49879
0.1213,10.8901,9.12195,193.6955
0.10832,11.1398,9.03206,189.5529
0.11509,11.0123,9.13811,171.2267
0.0839,10.4965,8.68676,96.123
0.08143,10.9216,9.28966,177.9769
0.11933,10.7325,8.84291,103.2219
0.09737,11.1111,8.60814,148.77789
0.06583,11.4156,9.0512,198.6868
0.1332,10.8561,8.65251,198.353
0.06764,10.3097,8.8178,126.1947
0.05084,10.5432,8.94219,135.5135
0.26051,11.6765,8.84706,204.1884
0.11368,10.9492,9.12353,143.0007
0.11398,10.6961,8.86026,109.6709
0.06505,10.6645,8.41473,73.5083
0.05953,10.5796,8.5614,76.2934
0.09972,10.8417,8.92803,156.25121
0.18311,11.0071,8.81852,143.1002
0.12423,11.0242,8.7939,148.5724
0.08135,11.3352,8.87471,242.2948
0.12412,10.6664,8.74891,143.5186
0.12676,10.8851,8.80895,195.2478
0.10721,10.8697,8.38808,107.8164
0.13406,10.8754,8.54727,113.8924
0.06395,10.7475,8.89917,151.10719
0.07241,10.2898,9.02058,116.8522
0.10643,10.6968,9.04445,149.37399
0.06663,10.8609,8.83798,110.0304
0.08158,10.8981,9.33309,217.35699
0.11481,10.9936,9.0848,168.2373
0.09784,10.8554,8.66873,153.5121
0.10016,10.8109,8.79637,153.5038
0.10652,10.5391,9.00277,136.3047
0.19544,11.2311,8.77003,176.8517
0.23842,11.3276,8.71778,135.0885
0.06381,10.6712,8.58474,88.0676
0.10066,10.9108,8.92764,207.10049
0.09468,10.9673,8.6802,137.16
0.11664,10.8627,8.97514,141.2693
0.0999,11.1227,9.21674,166.3862
0.11522,10.7846,8.73455,81.6044
0.0798,10.9806,8.30799,113.7949
0.12521,11.0039,8.66125,148.44971
0.0989,11.0164,8.63837,131.61951
0.17998,11.2448,8.78515,135.5013
0.07208,11.0379,8.79742,114.1377
0.12547,10.8455,8.91984,153.7072
0.12215,10.9963,8.81132,174.2885
0.06398,10.6123,8.67655,131.85001
0.10022,10.7875,8.98023,155.901
0.14959,11.0992,8.8178,180.1001
0.12439,11.0114,9.2653,182.9337
0.12836,10.7823,8.76257,102.8009
0.03782,10.1179,8.91256,76.3836
0.10725,10.6001,8.47566,116.4161
0.15735,10.938,8.73705,154.38831
0.03883,10.1696,8.78645,81.033
0.07297,10.5642,9.14083,145.2198
0.03851,10.9716,9.30353,193.0033
0.07256,10.9249,9.00074,140.1656
0.0943,11.0283,9.03697,155.2524
0.09562,10.9479,8.73263,123.0979
0.08651,10.291,8.56348,92.3304
0.08622,10.6828,8.56334,95.0389
0.08111,10.4963,8.86417,98.089
0.06748,10.7497,9.02391,149.3604
0.12797,10.8814,8.47311,68.8032
0.08622,10.793,8.96939,94.6891
0.22977,11.4457,8.99748,200.85451
0.15119,11.1142,8.75392,351.6088
0.07252,10.4735,8.98295,87.3806
0.1285,11.0693,8.88363,163.4366
0.12812,11.0191,8.86802,134.4884
0.04017,10.7897,9.22527,134.38589
0.04004,10.947,8.98695,147.50191
0.1126,10.9229,9.06605,133.0099
0.1517,11.3,9.03319,188.22729
0.03951,9.7365,8.42102,58.0521
0.08486,11.093,9.04477,181.5602
0.13009,10.7719,8.98171,127.1657
0.08455,11.0731,9.17092,191.9236
0.14915,11.1984,8.69904,140.5708
0.19287,10.9178,8.72679,134.83
0.09438,11.0502,8.89628,153.5899
0.06166,10.5912,9.27372,128.54871
0.06069,11.0776,9.246,230.5768
0.06028,10.1351,8.88619,89.1057
0.03911,10.7397,9.37184,147.2989
0.05957,10.9214,9.3897,173.9895
0.11613,11.0113,8.8715,164.3461
0.12998,10.9489,8.72782,148.4814
0.1067,10.5171,8.84801,111.2875
0.08539,10.5818,8.84951,86.4695
0.13295,11.1202,8.8288,177.7301
0.13704,11.5453,9.13289,317.6489
0.10707,10.8092,9.01483,133.3262
0.13354,10.8579,8.35764,67.5834
0.13945,10.5011,8.03622,111.0096
0.13393,10.8741,8.72081,129.02811
0.11395,11.1096,9.06487,177.2896
0.11317,10.9736,8.83874,151.8436
0.12735,11.2605,8.88284,214.6264
0.11642,11.0116,8.82518,131.9377
0.07202,10.9675,8.87168,136.5614
0.08084,10.5797,8.62794,104.6746
0.06516,10.6434,8.56319,141.9599
0.12966,11.0865,8.77884,127.624
0.09868,10.7713,8.65973,126.1302
0.11618,10.7493,8.81228,129.3532
0.11648,11.2564,8.82565,170.952
0.11724,10.9437,8.77731,138.2878
0.12414,10.7771,8.44586,80.1629
0.08226,11.2679,8.99329,176.2018
0.09495,10.7006,9.08972,158.4167
0.08236,10.9526,8.82168,154.44479
0.16468,10.6226,8.39571,92.8376
0.11878,11.0916,8.81057,88.4071
0.11543,11.074,9.00722,131.4095
0.11581,10.8837,8.93045,162.3284
0.11384,10.8424,8.98537,160.5213
0.0775,10.7742,9.09752,115.5211
0.06384,9.9672,8.71298,94.7246
0.07237,10.8604,8.84822,175.51041
0.15022,10.6151,8.2953,84.8742
0.12626,11.176,8.80708,177.6183
0.11523,11.1547,9.02608,198.19901
0.17773,11.0412,8.45171,92.0048
0.0671,10.5983,8.82492,134.77229
0.12506,10.9997,8.85919,283.26791
0.0263,10.1732,8.36795,97.6736
0.09436,10.923,9.06419,164.4525
0.04987,10.3795,9.00194,120.3613
0.07167,11.1536,9.01114,176.6254
0.14996,10.8359,8.55877,99.269
0.07673,10.2843,8.68707,84.617
0.09459,10.9875,8.86338,135.3121
0.09462,10.9812,8.82239,132.65179
0.07736,10.5874,8.80207,51.2461
0.07562,11.0432,8.6996,167.59641
0.15095,11.0261,9.0393,181.2485
0.07628,10.8635,8.69496,144.7574
0.09404,10.769,9.22863,162.6718
0.09253,11.0728,9.09781,169.2222
0.09609,10.5178,8.80633,122.8674
0.09438,10.3208,8.29357,103.913
0.09404,10.7676,9.08393,212.1971
0.08356,10.4844,8.65581,116.8879
0.03844,10.9729,9.26305,242.2834
0.12432,10.7928,9.02831,169.15491
0.09078,11.2256,8.86485,176.836
0.03969,10.7074,8.84597,130.0594
0.09636,11.1185,8.90906,174.68719
0.09152,10.6115,8.6159,94.0702
0.03765,10.8101,8.88984,125.4472
0.10446,10.7821,8.72811,138.3604
0.1051,10.9553,8.77585,141.4314
0.0899,10.9736,8.65602,144.48019
0.09636,11.1605,8.42512,118.8798
0.12556,11.2758,8.93632,226.3506
0.0379,10.7615,8.88773,141.1936
0.21636,10.6927,8.48271,66.6242
0.07377,10.9716,8.9518,117.6314
0.09617,10.5483,8.70795,122.733
0.09672,10.7429,8.88022,152.5367
0.07545,10.8448,8.8105,155.13319
0.11419,10.493,8.45351,91.6752
0.08389,10.5746,8.75469,126.6446
0.05177,10.6831,8.85248,109.8486
0.07376,11.1572,8.87924,200.6409
0.10856,10.7098,8.74155,115.6819
0.06442,10.87,9.28559,206.3972
0.11473,11.057,8.67451,107.6646
0.12987,10.9063,8.83365,131.92731
0.08291,11.0788,9.27933,99.9047
0.09612,10.734,8.89526,88.9472
0.07399,10.6781,8.72795,118.3125
0.10791,11.1574,8.91348,105.3369
0.07434,10.0136,8.67561,99.3072
0.06446,10.8364,8.82497,161.6142
0.13014,10.7954,8.62841,104.5934
0.10936,10.7062,8.97582,136.73219
0.08659,10.008,7.68279,0.0
0.12659,11.1446,8.73299,164.1559
0.11393,10.5106,8.74867,103.9107
0.10814,10.2434,8.4362,108.3907
0.07316,11.0692,9.10378,114.1314
0.09262,11.0771,9.44843,201.74409
0.1353,10.8641,8.92171,120.8124
0.1092,10.2549,8.52365,67.4041
0.07547,11.0481,8.73938,130.4111
0.09457,10.8541,8.9573,125.3151
0.07333,10.7843,8.74842,160.0401
0.22349,11.2238,8.5763,165.6947
0.12725,11.1581,9.01796,175.9324
0.12657,11.1916,9.06367,139.76961
0.10753,10.6469,8.43119,86.3382
0.08435,11.0481,8.7239,133.2887
0.08471,10.6318,8.82798,121.4929
0.07388,10.1827,8.94758,115.2038
0.12858,10.508,8.76008,93.3472
0.07496,10.4896,8.88029,125.6148
0.07264,10.8156,9.02693,164.25529
0.15268,11.344,8.90292,174.4919
0.09414,10.5968,8.47106,59.1596
0.10923,10.5255,8.74307,169.45039
0.0381,10.6515,8.68151,137.92979
0.1265,10.8414,8.43431,101.8168
0.18649,11.2478,8.86234,163.2245
0.09609,11.0851,8.6662,149.6019
0.09447,10.2857,8.5704,64.8221
0.10673,10.6284,8.90139,132.0372
0.25901,11.2862,8.52551,277.5368
0.03769,10.3911,9.02925,110.687
0.03805,10.2275,8.72149,136.0645
0.06309,10.4464,9.11077,173.6564
0.10483,10.8421,8.91437,119.5268
0.03926,10.7466,8.98764,135.6127
0.12428,10.5592,8.3472,71.9604
0.10492,10.7666,8.86552,197.55051
0.07602,10.5737,8.63128,128.1703
0.13022,11.1764,9.30529,180.4817
0.10609,10.6392,8.55602,164.1476
0.11175,11.3389,8.90123,233.5453
0.12453,10.8177,9.00271,139.9698
0.03759,10.2525,9.13,95.694
0.0919,10.1412,8.52459,131.9417
0.09839,11.0682,8.9217,152.24139
0.09637,11.0484,8.49584,95.4436
0.09637,11.1385,8.92906,180.4462
0.03975,10.5139,8.68561,73.6905
0.08995,11.059,8.69558,140.83009
0.21637,10.7634,8.5534,600.0
0.03941,10.6981,8.6932,97.5055
0.05012,10.5502,9.19891,159.77271
0.12454,11.0258,8.9797,184.25121
0.16323,11.091,8.77996,166.2155
0.09504,10.9985,8.80652,133.47
0.12517,11.3698,9.2063,276.1123
0.10941,10.5997,8.76433,99.6682
0.12718,11.1621,9.14164,187.5905
0.10171,10.81,8.82917,115.4386
0.12574,11.0156,8.8018,124.3384
0.12479,11.2252,8.70453,114.1528
0.08108,10.2289,8.62515,81.3968
0.06788,11.2317,9.04993,182.6843
0.04775,10.4746,8.91144,129.2854
0.04266,10.0475,8.70323,48.3068
0.08864,10.7427,8.90559,143.2953
0.10337,10.739,8.97481,131.26221
0.10515,10.3353,8.31606,55.6287
0.06815,11.0146,9.10772,173.4975
0.06809,10.3092,8.65562,66.9119
0.1665,11.1429,8.8703,195.1712
0.07868,10.2401,8.92176,76.3634
0.08943,10.6621,9.06061,114.8325
0.12417,10.9944,8.82499,143.0378
0.10391,10.4753,8.76935,72.6492
0.17078,10.9807,8.85352,177.77631
0.06548,10.103,8.41378,74.9417
0.06543,10.798,8.89699,113.0559
0.0991,10.7801,9.09745,147.36099
0.15566,10.8836,8.89681,131.31461
0.10186,10.5659,9.14492,160.5172
0.08506,10.7908,8.85472,137.8427
0.09285,10.6885,8.78532,123.349
0.09591,10.5663,8.82749,112.7807
0.10949,11.1609,8.55522,166.3685
0.07703,11.1274,9.34626,133.4716
0.11125,10.5071,8.80506,73.3973
0.04614,10.0486,8.70955,82.1951
0.15583,11.1527,9.01733,184.5835
0.11232,11.0654,9.30371,169.6434
0.07396,10.607,9.0009,213.95399
0.02863,9.9444,9.11302,85.708
0.08207,10.5262,8.52118,92.4537
0.08777,10.5662,8.83997,141.85159
0.01966,9.9845,9.23652,91.2234
0.0651,10.8753,8.78607,122.3004
0.08545,10.786,8.90889,136.32809
0.15961,10.8678,8.6924,108.4008
0.1551,11.1826,8.68291,202.3714
0.08516,11.0244,8.43909,68.7275
0.07374,10.7694,8.47166,82.9435
0.10187,10.8201,8.81027,147.2028
0.0449,10.882,8.92896,153.7693
0.08296,10.8849,8.86901,163.7151
0.08351,10.9688,8.55716,110.3939
0.08386,10.328,8.86902,89.9584
0.07443,10.6936,8.40966,111.5251
0.08535,10.6306,8.55896,64.2713
0.15619,11.4683,8.71667,232.29221
0.09581,10.6105,8.50294,113.7346
0.10163,11.0651,8.83906,141.07001
0.10216,10.9022,9.24649,164.0045
0.08312,11.2009,9.43682,265.72159
0.08529,10.9509,8.93985,132.16769
0.06475,10.4198,8.4113,66.7456
0.08249,10.6238,8.52675,82.9069
0.06828,10.646,8.58451,94.108
0.1602,10.9182,9.03722,141.5321
0.07429,10.4966,8.68208,100.5116
0.13457,10.9347,8.55127,136.31281
0.18565,11.4177,8.65903,169.0614
0.04366,10.8654,9.30294,210.073
0.15062,11.2598,9.13862,223.82201
0.09613,10.3921,9.16066,139.78419
0.11448,10.8804,9.19441,162.7731
0.0765,10.724,8.91441,119.0475
0.18696,10.8378,8.33235,142.2997
0.10813,10.9847,8.76454,196.5426
0.18568,11.1318,8.66899,208.9617
0.1238,11.0127,8.75304,121.8488
0.14835,10.8625,8.79626,147.9922
0.11878,10.7509,8.75756,185.10381
0.12375,10.9235,8.92102,169.3759
0.04143,9.6363,8.28121,69.8125
0.12404,11.009,9.12689,185.052
0.14881,11.0175,8.83636,146.5945
0.10295,10.6467,8.9828,145.38651
0.03827,10.6869,8.84352,138.53191
0.14318,11.369,9.00512,234.34489
0.03793,9.8284,8.73412,47.8548
0.03907,10.712,8.71964,86.969
0.0748,10.3435,9.04301,143.46471
0.15112,10.9147,8.89608,141.63651
0.08746,11.1048,8.50869,104.7335
0.04986,9.7959,8.07181,48.9096
0.11885,10.7442,8.73289,87.2961
0.18962,11.1244,8.59942,91.0704
0.11216,10.5969,8.81199,163.26849
0.10757,11.0895,9.03381,189.2149
0.09534,10.7756,9.24147,158.3826
0.11186,11.0062,9.0788,174.5022
0.1848,11.2495,9.1407,205.4039
0.09619,10.8298,9.13664,195.0051
0.09554,11.0872,8.95441,194.61549
0.15385,11.0144,8.5142,119.8429
0.09586,10.8727,8.74903,140.7589
0.14328,10.6785,8.40176,107.1831
0.12044,10.4145,8.62667,62.812
0.0744,10.8673,9.02527,133.0448
0.24893,11.4146,8.72946,174.491
0.18473,11.2315,8.98137,223.78169
0.12294,10.6529,8.50933,79.164
0.16562,11.1922,8.69146,169.6239
0.18554,11.0331,8.53706,131.8735
0.11854,11.2001,8.51507,109.646
0.07452,10.7556,8.78299,96.9769
0.10191,10.6959,8.74297,132.5787
0.09612,11.1751,8.87438,217.7253
0.06795,10.821,9.10432,107.6122
0.0436,10.0208,8.78617,96.1341
0.12285,10.8794,9.00231,182.0956
0.07138,10.9182,8.6709,116.5585
0.04209,10.6271,9.28517,169.8398
0.06667,11.1017,8.8961,212.69659
0.09966,10.5371,9.0099,144.214
0.0996,10.8382,8.69666,126.2326
0.12486,11.4077,9.07343,256.22079
0.07434,10.9476,9.33534,131.6212
0.11103,10.7813,8.42611,119.4599
0.09037,11.014,8.50452,134.47
0.10074,10.8527,8.91536,175.65401
0.10005,11.0434,8.42032,126.0599
0.12412,11.1774,8.86146,193.84821
0.10886,10.5148,8.86755,122.2315
0.11112,11.2817,9.00644,247.3567
0.10883,10.3546,8.25418,49.8499
0.0643,10.5988,8.62901,99.567
0.12449,11.0629,8.62665,132.94189
0.12383,11.2674,9.00796,192.9127
0.1106,10.223,8.67419,103.9107
0.0249,10.4999,9.22405,132.5182
0.04659,10.984,8.63433,190.6626
0.18667,11.0093,8.7549,164.5343
0.10079,11.1636,8.94923,155.7856
0.0288,10.3219,9.26667,203.4063
0.12668,10.809,8.59153,128.1189
0.11093,10.8794,8.97992,144.6731
0.12515,11.2225,8.75043,179.14549
0.11121,11.1167,8.94293,147.8752
0.2016,11.3146,8.85487,228.6568
0.11201,10.6169,8.89906,107.1187
0.20284,11.3397,8.81694,194.1062
0.09299,10.2805,8.84378,82.3767
0.02873,9.9401,8.88824,47.6961
0.06555,11.0614,8.9463,184.048
0.06487,11.2825,9.19689,265.45001
0.0716,10.9634,8.48941,111.1606
0.06553,11.1621,8.84542,128.79379
0.09145,10.7988,8.75196,117.9747
0.10206,10.7827,8.74593,142.1069
0.08938,10.6456,8.95168,118.4401
0.06623,10.556,8.94553,143.23531
0.18275,11.1357,8.77193,162.6248
0.11215,10.8279,8.86612,127.7965
0.15701,11.4252,8.88016,153.1676
0.08703,10.8601,8.81458,230.5977
0.08961,10.9332,9.0701,86.01
0.10172,11.2774,9.19378,240.53751
0.11292,11.475,9.08732,234.2791
0.11204,10.9788,8.7065,142.6703
0.11268,10.8248,8.85857,194.32629
0.07244,10.1756,8.84366,100.7979
0.06735,10.4888,8.6816,95.0583
0.08826,11.0277,9.12466,208.89259
0.07389,10.7723,8.87688,136.1685
0.06623,10.5227,8.9986,137.024
0.11221,10.8606,8.4689,144.7066
0.11197,10.8187,8.8091,142.715
0.04579,10.5649,9.0255,174.71719
0.08634,10.2505,8.80105,130.9982
0.09055,11.1608,9.03415,208.2274
0.10168,10.5901,8.89537,155.9279
0.07373,11.2433,8.8538,151.09689
0.10166,11.1825,8.69919,163.2574
0.08671,10.67,8.98242,139.74631
0.26965,11.8101,8.82345,286.13641
0.10837,10.4795,8.26025,77.219
0.08736,10.87,8.98201,195.8062
0.1428,10.9198,8.76058,158.36411
0.12336,10.7406,8.80649,147.0289
0.12936,11.4717,8.88312,235.36121
0.06759,10.4067,9.08329,167.02901
0.12327,10.8467,8.6647,106.242
0.06752,10.7515,8.43116,122.303
0.12005,11.3418,9.20982,224.4959
0.11205,11.0217,9.05814,210.6333
0.10522,11.2438,8.90344,137.912
0.0673,10.1527,9.08312,95.3385
0.12809,10.8618,8.46025,94.4424
0.06792,10.3179,8.72818,110.2405
0.06693,10.2997,8.74953,99.8172
0.12828,11.4842,9.10903,337.5899
0.12757,11.2711,9.00619,160.5484
0.04387,9.8888,8.6594,54.8266
0.03906,10.5327,8.69598,61.7122
0.08803,11.4219,9.19772,251.4688
0.0744,10.3138,8.92774,102.8651
0.13866,11.3783,9.1804,199.8438
0.12874,11.144,8.41496,129.95
0.14077,11.023,8.75032,170.63
0.06737,10.7423,9.02071,141.9492
0.12697,10.9637,9.14845,140.5022
0.08146,10.2062,8.41807,86.6025
0.23935,11.4836,9.11775,272.04041
0.09857,11.236,9.14051,159.03951
0.12576,10.6203,8.15451,104.4974
0.06294,11.2597,8.74591,187.4926
0.02486,10.3752,9.33186,128.85361
0.08131,10.5251,8.32068,74.486
0.12515,10.6796,8.74661,226.4846
0.0562,9.9353,7.96466,85.5161
0.12258,10.94,8.99224,154.6841
0.18499,11.4864,9.00368,269.7934
0.08448,10.7701,8.90673,197.2395
0.15362,11.0299,8.69947,133.78259
0.0968,10.9678,9.06216,166.66499
0.09598,10.7321,8.92251,121.8363
0.09653,10.8577,8.93744,184.70979
0.03772,10.6396,9.47029,123.1367
0.09732,10.8796,9.00771,205.3708
0.18465,11.4621,8.83286,170.7265
0.11716,10.8694,8.80971,125.7569
0.06421,10.371,9.15962,128.5573
0.09487,10.615,8.33915,59.6548
0.09715,11.0806,8.83325,146.03259
0.09711,10.8847,9.10075,162.3849
0.09212,10.6031,8.87302,166.8519
0.09587,10.5324,8.42088,93.2163
0.05547,10.4273,8.88934,98.8274
0.04888,10.2161,8.29657,49.6654
0.03896,10.5659,8.42291,115.8544
0.05586,10.5066,8.45492,90.8631
0.09715,10.8958,8.56223,97.4716
0.09938,11.0427,8.45166,140.5639
0.04907,10.138,8.60638,67.5741
0.07935,10.6405,8.58394,62.7782
0.079,10.6327,8.86853,113.5488
0.06584,10.9602,8.96451,97.0471
0.1043,10.4863,8.69621,127.1086
0.06698,10.9002,8.61898,149.85361
0.10542,11.0737,8.84226,177.8681
0.06784,11.4112,9.20596,200.9514
0.10003,10.9372,8.99801,178.5948
0.10365,10.8813,8.99316,100.2899
0.17303,11.1642,9.01058,175.8896
0.10117,10.7891,8.78021,115.2032
0.02493,10.0193,9.01408,78.8098
0.14471,11.1759,8.37313,118.105
0.0983,11.1521,8.77342,204.27679
0.09827,10.376,8.77098,63.7781
0.07335,10.8813,8.9877,204.0694
0.18823,10.9748,8.50841,187.496
0.04972,10.2366,8.70105,90.3054
0.05846,10.7864,9.08519,143.7392
0.10268,10.9874,8.89029,144.8414
0.14779,10.7556,8.55649,131.528
0.07573,10.2466,8.50448,63.4295
0.07518,10.6055,8.40895,101.7784
0.02726,10.0379,8.74173,74.026
0.12637,10.9567,8.79534,170.4061
0.10013,10.9471,8.8621,149.2244
0.04059,10.7187,8.47154,87.0362
0.10957,10.9119,9.04586,224.5764
0.09788,10.7869,8.72417,110.1294
0.07491,10.329,8.84012,118.8647
0.02709,10.5174,9.32325,146.7148
0.10252,11.0399,9.03983,160.76489
0.12547,11.287,8.81356,162.3087
0.10298,11.1846,9.08896,204.3053
0.03931,10.3338,8.53389,97.8614
0.07286,10.808,8.93579,122.0202
0.10279,10.8586,9.38199,187.7966
0.07659,11.0477,8.79091,157.87579
0.10022,10.9867,8.52851,127.5481
0.02588,10.4581,8.77613,112.9217
0.03955,10.0439,8.11222,105.5422
0.08848,10.9931,8.9345,146.9422
0.07208,10.2482,8.74067,108.2654
0.0774,10.4387,8.76758,120.1716
0.10855,10.5291,8.65941,93.5141
0.1317,10.9166,8.92726,170.54041
0.06885,10.6996,8.92727,146.4839
0.12444,11.0007,9.18576,155.8891
0.09987,10.7921,8.67156,114.3361
0.098,10.9609,8.91658,141.83569
0.12267,10.7295,8.49987,149.98981
0.06372,10.9451,8.82144,134.2578
0.07795,10.8403,8.51734,109.5119
0.23149,11.2861,8.81656,217.3712
0.06951,10.7358,8.73592,103.8721
0.09922,10.8709,8.8227,112.0853
0.09855,10.4841,8.42476,143.6124
0.0645,10.2059,8.67243,73.5546
0.07721,10.2217,8.85388,97.6505
0.06439,11.3531,9.59722,263.9949
0.12195,10.9192,9.13674,163.94791
0.09889,11.0851,8.91716,179.0891
0.04826,10.999,8.81028,161.5708
0.07461,10.7507,8.4628,91.9617
