z,log_mstar,logstellardens,sigma
0.09363,10.6603,9.27906,199.95399
0.07544,10.5725,8.71129,65.9084
0.07498,10.8493,8.36192,104.0785
0.14339,10.9484,8.93249,138.2339
0.0795,10.9406,8.93724,180.8744
0.07792,11.3448,9.31197,255.3252
0.09406,10.989,9.2654,148.76559
0.09269,10.5762,8.74749,110.51
0.09667,10.5522,8.67631,124.6342
0.0944,11.018,9.04251,204.5984
0.07969,11.5301,9.35844,282.3317
0.09919,10.6462,8.78761,156.4362
0.06119,10.8336,8.86479,135.845
0.20098,11.0457,8.69308,151.11929
0.0474,11.2454,9.3143,223.1534
0.07938,10.6336,9.08206,129.0735
0.08496,10.8699,9.198,154.1422
0.06446,10.7352,8.74938,162.83009
0.09369,10.363,8.97036,66.2977
0.09847,10.4433,8.89327,118.7375
0.09436,10.65,8.82685,96.9855
0.09454,10.5138,8.90705,111.5051
0.09486,10.7052,8.63686,100.0477
0.0952,10.3702,8.48781,76.7468
0.0627,11.1079,8.83845,162.5152
0.12604,10.9793,8.96897,187.6362
0.08945,10.2862,8.54349,86.172
0.04764,11.0702,9.05513,181.7318
0.09528,10.7089,8.82337,130.68961
0.12576,11.2875,8.70173,138.4735
0.08655,10.5834,8.99902,193.6459
0.09252,10.5073,8.51407,101.6238
0.09408,10.6044,8.94218,159.328
0.09041,10.4108,8.76778,130.19479
0.03317,9.7869,8.67027,62.8863
0.08746,10.4848,9.05336,96.7021
0.06505,10.3697,8.91427,104.6788
0.03285,10.5806,9.13939,187.6485
0.06223,10.1666,8.95702,182.07471
0.10454,10.3072,8.51381,94.8998
0.07952,10.0996,8.41068,93.8383
0.1378,11.0304,8.81989,164.36031
0.09508,10.7657,8.67469,145.6563
0.08997,10.8538,9.06636,190.0994
0.0859,11.2435,8.97312,213.431
0.06142,11.3069,9.19069,332.67099
0.08544,10.8407,8.71465,187.2328
0.10382,10.7498,8.32165,78.908
0.08796,10.729,8.86483,180.72701
0.091,11.019,8.72976,152.36501
0.09226,11.1302,9.00774,215.8642
0.08913,10.8755,9.05618,243.067
0.08487,10.9302,9.2991,251.2587
0.04257,10.434,8.41986,75.8112
0.03291,10.1897,8.3898,72.3809
0.09379,10.6554,8.97966,166.6815
0.09073,10.6383,8.94909,191.3662
0.08827,10.4767,8.89376,82.6727
0.09147,10.4938,8.88064,121.5528
0.09767,10.6595,8.65952,121.3481
0.1403,10.5654,8.54724,99.3361
0.1247,10.8837,8.69363,85.9776
0.04243,10.2471,8.37927,81.2747
0.17387,11.3414,8.81038,198.7204
0.16735,11.1637,8.88357,192.20039
0.07047,10.5641,8.87623,109.4404
0.04626,10.8066,8.95624,140.05409
0.08475,10.6671,8.63785,144.4861
0.10609,10.3937,8.16368,122.9637
0.09102,10.7511,8.8829,160.12981
0.09331,10.5554,8.83533,146.8401
0.08459,10.6616,8.54838,107.9102
0.08764,11.2267,9.10397,230.3197
0.08721,10.7572,8.81851,137.46429
0.08771,10.8558,8.67755,141.18961
0.03296,10.0997,9.00218,104.1943
0.08345,10.5719,9.14283,121.1769
0.08852,11.1506,8.90204,194.9653
0.08889,10.6552,8.61676,128.9632
0.1082,11.3568,9.01632,260.96619
0.10861,10.4562,8.85977,120.1256
0.10588,10.6771,8.75074,157.2628
0.09047,10.9735,8.97602,145.933
0.13769,11.2134,8.57762,95.099
0.12488,10.8838,8.66584,109.1825
0.08909,10.8499,8.85665,97.0033
0.08886,10.7631,8.98186,94.3454
0.08842,10.576,8.72823,105.0815
