Number,Galaxy,Band,M/L,Type,n_maj,Re_maj,mue_maj,logIe_maj,n_eq,Re_eq,mue_eq,logIe_eq,C,scale,logM*_sph,Dist,logMbh,Ref
79,NGC 6086a,r ¢(SDSS),"(2.8, 4.65)",E,4.37,13.89,21.68,2.30,4.20,12.41,21.78,2.26,0.46,0.6441,11.52+/-0.26,138,9.57+/-0.17,SGD19a
80,NGC 6861,3.6 μm,"(0.6, 6.02)",ES,3.07,18.69,19.35,3.08,3.52,20.13,20.17,2.75,0.48,0.1314,10.94+/-0.29,27.3,9.30+/-0.08,SGD19a
81,NGC 7052a,3.6 μm,"(0.6, 6.02)",E,3.20,34.42,21.84,2.36,3.46,20.04,20.82,2.50,0.46,0.3161,11.46+/-0.12,66.4,8.57+/-0.23,SGD19a
82,NGC 7332,3.6 μm,"(0.6, 6.02)",EB0,1.78,2.87,16.78,4.11,2.15,2.43,16.92,4.05,0.37,0.1198,10.22+/-0.34,24.9,7.11+/-0.20,SGD19a
83,NGC 7457,3.6 μm,"(0.6, 6.02)",S0,2.63,6.31,19.62,2.97,2.84,6.51,19.98,2.83,0.42,0.0676,9.40+/-0.26,14,7.00+/-0.30,SGD19a
84,Circinus,3.6 μm,"(0.45, 6.02)",SABb,2.21,33.26,18.29,3.37,1.80,23.13,18.06,3.47,0.29,0.0204,10.12+/-0.2,4.2,6.25+/-0.11,DGC19a
85,ESO558-G009,I (HST),"(1.88, 4.52)",Sbc,1.28,0.62,18.17,3.47,1.63,0.68,18.62,3.29,0.31,0.542,9.89+/-0.11,115.4,7.26+/-0.04,DGC19a
86,IC 2560,3.6 μm,"(0.45, 6.02)",SBb,2.27,7.15,19.64,2.84,0.68,3.92,19.07,3.07,0.15,0.149,9.63+/-0.39,31.0,6.49+/-0.20,DGC19a
87,J0437+2456,I (HST),"(1.88, 4.52)",SB,1.73,1.22,19.42,2.96,1.97,0.87,19.40,2.97,0.35,0.343,9.90+/-0.2,72.8,6.51+/-0.05,DGC19a
88,Milky Way,2.4 μm,...,SBbc,1.32,7.49°,...,...,1.32,5.85°,...,...,...,0.38E-4,9.96+/-0.05,7.86E-3,6.6+/-0.02,GD07
89,Mrk 1029,I (HST),"(1.88, 4.52)",S,1.15,0.47,16.53,4.13,1.07,0.28,16.29,4.23,0.23,0.6392,9.90+/-0.11,136.9,6.33+/-0.12,DGC19a
90,NGC 0224,3.6 μm,"(0.45, 6.02)",SBb,2.20,418.6,19.58,2.87,1.30,173.6,18.41,3.33,0.22,0.0036,10.11+/-0.09,0.8,8.15+/-0.16,DGC19a
91,NGC 0253,3.6 μm,"(0.45, 6.02)",SABc,2.53,55.55,19.22,3.00,2.33,27.89,18.82,3.16,0.34,0.0168,9.76+/-0.09,3.5,7.00+/-0.30,DGC19a
92,NGC 1068,Ks,"(0.62, 5.08)",SBb,0.71,10.52,16.17,3.99,0.87,8.29,16.14,4.00,0.20,0.0488,10.27+/-0.24,10.1,6.75+/-0.08,DGC19a
93,NGC 1097,3.6 μm,"(0.45, 6.02)",SBb,1.95,15.72,18.71,3.21,1.52,11.39,18.27,3.39,0.26,0.1199,10.83+/-0.2,24.9,8.38+/-0.04,DGC19a
94,NGC 1300,3.6 μm,"(0.45, 6.02)",SBbc,4.20,24.37,21.97,1.91,2.83,7.39,19.99,2.70,0.31,0.07,9.42+/-0.25,14.5,7.71+/-0.16,DGC19a
95,NGC 1320,3.6 μm,"(0.45, 6.02)",Sa,3.08,3.35,17.93,3.53,2.87,2.23,17.40,3.74,0.38,0.1809,10.25+/-0.4,37.7,6.78+/-0.29,DGC19a
96,NGC 1398,3.6 μm,"(0.45, 6.02)",SBab,3.44,17.53,19.75,2.80,3.00,10.38,19.04,3.08,0.38,0.1194,10.57+/-0.2,24.8,8.03+/-0.11,DGC19a
97,NGC 2273,I (HST),"(1.88, 4.52)",SBa,2.24,2.99,18.13,3.47,2.49,3.15,18.52,3.31,0.39,0.1519,9.98+/-0.2,31.6,6.97+/-0.09,DGC19a
98,NGC 2960,3.6 μm,"(0.45, 6.02)",Sa*,2.59,2.35,18.04,3.49,2.86,2.19,18.30,3.39,0.42,0.338,10.44+/-0.36,71.1,7.06+/-0.17,DGC19a
99,NGC 2974,3.6 μm,"(0.45, 6.02)",SB,1.56,9.21,18.49,3.30,1.17,6.53,18.12,3.45,0.23,0.1036,10.23+/-0.13,21.5,8.23+/-0.07,DGC19a
100,NGC 3031b,3.6 μm,"(0.45, 6.02)",Sab,2.81,36.19,18.34,3.35,3.46,42.98,18.93,3.12,0.50,0.0169,10.16+/-0.11,3.5,7.83+/-0.09,DGC19a
101,NGC 3079,3.6 μm,"(0.45, 6.02)",SBcd,0.52,5.91,16.79,3.98,0.58,4.35,17.13,3.84,0.16,0.0796,9.92+/-0.25,16.5,6.38+/-0.12,DGC19a
102,NGC 3227,3.6 μm,"(0.45, 6.02)",SABa,2.60,17.91,20.26,2.59,1.90,8.34,19.32,2.97,0.28,0.1017,10.04+/-0.17,21.1,7.88+/-0.14,DGC19a
103,NGC 3368,3.6 μm,"(0.45, 6.02)",SABa,1.19,5.98,17.07,3.86,1.00,4.83,16.92,3.92,0.21,0.0517,9.81+/-0.1,10.7,6.89+/-0.09,DGC19a
104,NGC 3393,I (HST),"(1.88, 4.52)",SBa,1.14,1.64,17.27,3.82,1.36,1.77,17.63,3.68,0.27,0.2664,10.23+/-0.12,55.8,7.49+/-0.05,DGC19a
105,NGC 3627,3.6 μm,"(0.45, 6.02)",SBb,3.17,11.07,18.44,3.32,2.10,3.92,16.98,3.90,0.28,0.0512,9.74+/-0.2,10.6,6.95+/-0.05,DGC19a
106,NGC 4151,3.6 μm,"(0.45, 6.02)",SABa,2.24,6.23,17.75,3.59,1.85,6.00,17.77,3.59,0.29,0.0916,10.27+/-0.15,19.0,7.68+/-0.37,DGC19a
107,NGC 4258,3.6 μm,"(0.45, 6.02)",SABb,3.21,41.8,20.14,2.64,2.60,26.4,19.73,2.80,0.34,0.0368,10.05+/-0.18,7.6,7.60+/-0.01,DGC19a
108,NGC 4303,3.6 μm,"(0.45, 6.02)",SBbc,1.02,2.28,16.51,4.09,0.90,2.16,15.78,4.38,0.20,0.0594,9.42+/-0.1,12.3,6.58+/-0.17,DGC19a
109,NGC 4388,3.6 μm,"(0.45, 6.02)",SBcd,0.89,21.68,21.68,2.02,1.15,14.3,19.82,2.77,0.24,0.0859,10.07+/-0.22,17.8,6.90+/-0.11,DGC19a
110,NGC 4501,3.6 μm,"(0.45, 6.02)",Sb,2.33,21.22,19.53,2.88,2.83,20.35,19.91,2.73,0.44,0.0541,10.11+/-0.16,11.2,7.13+/-0.08,DGC19a
111,NGC 4594,3.6 μm,"(0.45, 6.02)",Sa,6.14,44.94,19.38,2.94,4.24,41.36,19.46,2.91,0.35,0.0462,10.81+/-0.2,9.6,8.81+/-0.03,DGC19a
112,NGC 4699,3.6 μm,"(0.45, 6.02)",SABb,5.35,24.44,19.51,2.89,6.77,29.75,20.31,2.57,0.69,0.1141,11.12+/-0.26,23.7,8.34+/-0.10,DGC19a
113,NGC 4736b,3.6 μm,"(0.45, 6.02)",Sab,0.93,9.79,16.17,4.22,1.03,9.65,16.31,4.17,0.22,0.0214,9.89+/-0.09,4.4,6.78+/-0.10,DGC19a
114,NGC 4826,3.6 μm,"(0.45, 6.02)",Sab,0.73,13.89,17.86,3.55,0.76,11.93,17.98,3.50,0.18,0.0269,9.55+/-0.22,5.6,6.07+/-0.15,DGC19a
115,NGC 4945b,Ks,"(0.62, 5.08)",Sc,3.40,26.33,18.48,3.06,3.19,13.93,17.99,3.26,0.40,0.018,9.39+/-0.19,3.7,6.15+/-0.30,DGC19a
116,NGC 5055,3.6 μm,"(0.45, 6.02)",Sbc,2.02,55.12,20.09,2.66,1.76,43.52,19.85,2.75,0.29,0.0429,10.49+/-0.11,8.9,8.94+/-0.10,DGC19a
117,NGC 5495,I (HST),"(1.88, 4.52)",SBc,2.60,3.75,20.21,2.65,2.46,3.99,20.23,2.64,0.36,0.4767,10.54+/-0.12,101.1,7.04+/-0.08,DGC19a
118,NGC 5765b,I (HST),"(1.88, 4.52)",SABb,1.46,1.11,18.72,3.25,1.51,1.00,18.83,3.21,0.28,0.6257,10.04+/-0.13,133.9,7.72+/-0.05,DGC19a
119,NGC 6264,I (HST),"(1.88, 4.52)",SBb,1.04,1.13,19.23,3.06,1.35,1.05,19.37,3.00,0.27,0.7152,10.01+/-0.15,153.9,7.51+/-0.06,DGC19a
120,NGC 6323,I (HST),"(1.88, 4.52)",SBab,1.60,1.53,20.39,2.58,1.15,1.71,19.98,2.75,0.22,0.5488,9.86+/-0.31,116.9,7.02+/-0.14,DGC19a
121,NGC 7582,3.6 μm,"(0.45, 6.02)",SBab,2.20,5.33,17.04,3.88,2.21,4.55,17.66,3.63,0.35,0.0959,10.15+/-0.2,19.9,7.67+/-0.09,DGC19a
122,UGC 3789,I (HST),"(1.88, 4.52)",SABa,2.37,1.60,18.38,3.37,2.67,3.11,19.03,3.11,0.41,0.2372,10.18+/-0.14,49.6,7.06+/-0.05,DGC19a
123,UGC 6093,I (HST),"(1.88, 4.52)",SBbc,1.55,1.84,19.27,3.04,1.41,1.27,18.87,3.20,0.26,0.7103,10.35+/-0.14,152.8,7.41+/-0.03,DGC19a
