,name,slope,intercept,scatter
0,1,0.9994765,0.0004847295,0.0004624485
0,2,0.999425,0.000496178,0.000513048
0,3,0.99896,0.000511651,0.000547563
0,4,0.998842,0.0005223890000000001,0.00046285399999999996
0,5,0.9992105,0.00047581049999999997,0.00042208999999999997
0,6,0.9995575,0.0004892205,0.0005194915
0,7,0.996254,0.000687387,0.000500478
0,8,0.9981485,0.0005503505,0.000531332
0,9,0.997637,0.000591575,0.0005135725000000001
0,10,0.998132,0.000570263,0.000534594
